City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
357,kurovskoye,100,RU,1601793894,81,55.58,38.91,284.15,3.0
358,kusa,0,RU,1601793894,66,55.34,59.44,278.43,2.62
359,ladozhskaya,98,RU,1601793895,77,45.31,39.94,289.15,1.0
360,lev tolstoy,0,RU,1601793895,43,53.21,39.45,284.15,3.0
361,mayskiy,38,RU,1601793895,48,47.69,40.1,290.15,7.0
362,nadvoitsy,63,RU,1601793895,87,63.87,34.32,283.06,3.93
363,nikolo-pavlovskoye,0,RU,1601793895,65,57.78,60.06,277.67,3.98
364,novocherkassk,54,RU,1601793895,48,47.42,40.09,290.15,7.0
365,novogagatli,75,RU,1601793895,77,43.46,46.48,291.15,2.0
366,novoilinsk,0,RU,1601793896,50,51.68,108.71,279.18,3.2
367,olga,0,RU,1601793896,62,43.74,135.29,288.47,2.68
368,pervomayskoye,100,RU,1601793896,38,43.92,46.71,295.41,7.4
369,pinega,0,RU,1601793896,72,64.7,43.39,277.38,2.53
370,pinerovka,65,RU,1601793896,41,51.56,43.07,291.16,2.7
371,podgornoye,2,RU,1601793896,30,51.73,39.15,285.15,3.0
372,porosozero,100,RU,1601793896,90,62.72,32.73,283.17,4.11
373,povolzhskiy,40,RU,1601793896,71,53.59,49.76,283.15,2.0
374,pyatnitskoye,0,RU,1601793897,27,50.42,37.83,290.42,4.59
375,rybnoye,98,RU,1601793897,55,54.73,39.51,285.93,4.07
376,saskylakh,96,RU,1601793897,96,71.92,114.08,268.94,6.73
377,seshcha,100,RU,1601793897,60,53.74,33.34,285.12,5.5
378,severnyy,0,RU,1601793897,33,50.68,36.55,287.15,4.0
379,severo-yeniseyskiy,100,RU,1601793897,88,60.37,93.04,279.32,5.43
380,sharkan,0,RU,1601793897,76,57.3,53.87,277.59,0.89
381,svetlograd,75,RU,1601793897,87,45.34,42.85,288.15,5.0
382,tarnogskiy gorodok,0,RU,1601793898,72,60.5,43.58,280.41,2.81
383,tazovskiy,98,RU,1601793898,86,67.47,78.7,274.37,9.93
